State;East-West;The first most important problem;The second most important problem;Party;Gender;Age;Reasearch Year
Niedersachsen;West;Family/children/youth;Taxes/tax rises;FDP;Male;45-49;2009
Baden-Württemberg;West;International banking and financial crisis;No response;SPD;Male;45-49;2009
Nordrhein-Westfalen;West;Unemployment/jobs;International banking and financial crisis;CDU/CSU;Female;25-29;2009
Nordrhein-Westfalen;West;Unemployment/jobs;No response;SPD;Male;45-49;2009
Bayern;West;Economic recovery/situation;No response;SPD;Male;50-59;2009
Hessen;West;Unemployment/jobs;International banking and financial crisis;CDU/CSU;Male;40-44;2009
Hessen;West;Other problems;International banking and financial crisis;SPD;Female;50-59;2009
Baden-Württemberg;West;International banking and financial crisis;National debt;CDU/CSU;Male;30-34;2009
Bayern;West;Unemployment/jobs;No response;No response;Female;21-24;2009
Rheinland-Pflaz;West;Unemployment/jobs;Taxes/tax rises;No response;Male;45-49;2009
Baden-Württemberg;West;Economic recovery/situation;Other problems;CDU/CSU;Female;30-34;2009
Baden-Württemberg;West;Cutbacks of social benefits/Hartz IV;Economic recovery/situation;CDU/CSU;Male;40-44;2009
Hessen;West;Unemployment/jobs;International banking and financial crisis;SPD;Female;50-59;2009
Hessen;West;Other problems;No response;CDU/CSU;Male;70+;2009
Hessen;West;Unemployment/jobs;Health care system/nursing care insurance;SPD;Female;60-69;2009
Saarland;West;Unemployment/jobs;Other problems;No response;Female;50-59;2009
Hessen;West;International banking and financial crisis;Health care system/nursing care insurance;SPD;Male;50-59;2009
Schleswig-Holstein;West;Unemployment/jobs;Economic recovery/situation;CDU/CSU;Female;50-59;2009
Rheinland-Pflaz;West;Other problems;Other problems;SPD;Male;50-59;2009
Rheinland-Pflaz;West;Peace/détente (East-West);Unemployment/jobs;SPD;Male;50-59;2009
Baden-Württemberg;West;Unemployment/jobs;Economic recovery/situation;CDU/CSU;Male;30-34;2009
Nordrhein-Westfalen;West;Unemployment/jobs;Wages/regulation of working hours;SPD;Male;40-44;2009
Nordrhein-Westfalen;West;Unemployment/jobs;Environmental protection/climate/climate change/renewable energies;CDU/CSU;Female;35-39;2009
Nordrhein-Westfalen;West;Other problems;No response;No response;Male;30-34;2009
Baden-Württemberg;West;No response;No response;No response;Female;50-59;2009
Bayern;West;Unemployment/jobs;School/education/PISA;CDU/CSU;Female;35-39;2009
Niedersachsen;West;International banking and financial crisis;Unemployment/jobs;SPD;Male;70+;2009
Baden-Württemberg;West;Economic recovery/situation;Other problems;SPD;Male;60-69;2009
Sachsen-Anhalt;East;International banking and financial crisis;Unemployment/jobs;No response;Male;50-59;2009
Brandemburg;East;Unemployment/jobs;Economic recovery/situation;No response;Male;45-49;2009
Sachsen;East;Unemployment/jobs;School/education/PISA;SPD;Male;21-24;2009
Brandemburg;East;German army missions abroad/Afghanistan;No response;No response;Female;60-69;2009
Sachsen;East;Unemployment/jobs;School/education/PISA;CDU/CSU;Male;40-44;2009
Sachsen;East;Unemployment/jobs;No response;No response;Male;50-59;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;Health care system/nursing care insurance;No response;Female;60-69;2009
Thüringen;East;International banking and financial crisis;Pensions/old people/provision for old age;SPD;Male;35-39;2009
Brandemburg;East;Unemployment/jobs;Environmental protection/climate/climate change/renewable energies;No response;Male;35-39;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;School/education/PISA;SPD;Male;60-69;2009
Sachsen;East;Unemployment/jobs;Law and order/crime;SPD;Male;45-49;2009
Sachsen;East;Social gap between rich and poor;Unemployment/jobs;CDU/CSU;Female;50-59;2009
Thüringen;East;Disenchantment with political parties and politics/politics in general/political affairs;No response;SPD;Male;30-34;2009
Brandemburg;East;Unemployment/jobs;Pessimism/'moaning'/lack of prospects;CDU/CSU;Female;45-49;2009
Brandemburg;East;Unemployment/jobs;Law and order/crime;SPD;Male;60-69;2009
Sachsen;East;Crisis in the car manufacturers/industry;German army missions abroad/Afghanistan;FDP;Male;70+;2009
Sachsen;East;Cost of living/prices/price of petrol/'Teuro'/inflation;Unemployment/jobs;FDP;Female;35-39;2009
Brandemburg;East;Peace/détente (East-West);Morality/values;SPD;Female;70+;2009
Sachsen-Anhalt;East;Unemployment/jobs;Wages/regulation of working hours;No response;Male;21-24;2009
Sachsen-Anhalt;East;Unemployment/jobs;Economic recovery/situation;SPD;Female;70+;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;Social gap between rich and poor;SPD;Female;60-69;2009
Brandemburg;East;Economic recovery/situation;Environmental protection/climate/climate change/renewable energies;SPD;Female;25-29;2009
Sachsen;East;No response;No response;No response;Male;70+;2009
Sachsen-Anhalt;East;Nuclear power plants/nuclear transport;German army missions abroad/Afghanistan;FDP;Female;70+;2009
Sachsen;East;Unemployment/jobs;Unemployment/jobs;SPD;Female;50-59;2009
Sachsen;East;Disenchantment with political parties and politics/politics in general/political affairs;Unemployment/jobs;SPD;Female;25-29;2009
Thüringen;East;No response;No response;CDU/CSU;Female;70+;2009
Sachsen;East;Economic recovery/situation;School/education/PISA;No response;Male;60-69;2009
Sachsen-Anhalt;East;Unemployment/jobs;Cutbacks of social benefits/Hartz IV;FDP;Female;50-59;2009
Sachsen;East;Economic recovery/situation;Health care system/nursing care insurance;No response;Female;70+;2009
Berlin-East;East;Law and order/crime;Law and order/crime;SPD;Male;50-59;2009
Thüringen;East;Bureaucracy;Disputes in the government/coalition;SPD;Male;50-59;2009
No response;No response;Cost of living/prices/price of petrol/'Teuro'/inflation;Pensions/old people/provision for old age;No response;Male;60-69;2009
Sachsen-Anhalt;East;No response;No response;SPD;Male;18-20;2009
Sachsen;East;School/education/PISA;Economic recovery/situation;No response;Female;45-49;2009
Thüringen;East;Unemployment/jobs;German unity: problems/financing/emigration/relation east-west;SPD;Female;70+;2009
Sachsen;East;Unemployment/jobs;School/education/PISA;FDP;Female;60-69;2009
Sachsen;East;Unemployment/jobs;Family/children/youth;CDU/CSU;Female;25-29;2009
Sachsen;East;Unemployment/jobs;Social gap between rich and poor;SPD;Male;60-69;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;No response;CDU/CSU;Female;50-59;2009
Brandemburg;East;Unemployment/jobs;Law and order/crime;No response;Female;60-69;2009
Sachsen;East;Unemployment/jobs;International banking and financial crisis;SPD;Male;40-44;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;Pensions/old people/provision for old age;CDU/CSU;Female;70+;2009
Sachsen-Anhalt;East;Environmental protection/climate/climate change/renewable energies;Wages/regulation of working hours;CDU/CSU;Female;30-34;2009
Sachsen;East;Economic recovery/situation;Unemployment/jobs;No response;Male;50-59;2009
Berlin-East;East;Unemployment/jobs;Cost of living/prices/price of petrol/'Teuro'/inflation;No response;Male;40-44;2009
Berlin-East;East;Unemployment/jobs;Pensions/old people/provision for old age;CDU/CSU;Female;40-44;2009
Mecklenburg-Vorpommern;East;Social gap between rich and poor;Family/children/youth;SPD;Female;40-44;2009
Berlin-East;East;Social gap between rich and poor;Wages/regulation of working hours;SPD;Female;30-34;2009
Sachsen-Anhalt;East;Unemployment/jobs;Social gap between rich and poor;SPD;Male;40-44;2009
Sachsen;East;Unemployment/jobs;Economic recovery/situation;SPD;Female;40-44;2009
Sachsen;East;School/education/PISA;Foreigners/immigration/asylum-seekers/asylum;SPD;Female;50-59;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;Social gap between rich and poor;SPD;Female;60-69;2009
Thüringen;East;Social gap between rich and poor;School/education/PISA;SPD;Female;35-39;2009
Sachsen;East;Unemployment/jobs;School/education/PISA;FDP;Female;45-49;2009
Brandemburg;East;Unemployment/jobs;Social gap between rich and poor;No response;Male;35-39;2009
Mecklenburg-Vorpommern;East;Family/children/youth;Health care system/nursing care insurance;SPD;Female;60-69;2009
Sachsen-Anhalt;East;Unemployment/jobs;Pensions/old people/provision for old age;CDU/CSU;Male;50-59;2009
Brandemburg;East;Economic recovery/situation;No response;SPD;Male;45-49;2009
Brandemburg;East;Wages/regulation of working hours;Cost of living/prices/price of petrol/'Teuro'/inflation;SPD;Male;45-49;2009
Thüringen;East;Unemployment/jobs;Economic recovery/situation;No response;Male;50-59;2009
Mecklenburg-Vorpommern;East;International banking and financial crisis;Economic recovery/situation;SPD;Male;40-44;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;Economic recovery/situation;CDU/CSU;Female;40-44;2009
Brandemburg;East;Morality/values;No response;SPD;Female;60-69;2009
Sachsen-Anhalt;East;Unemployment/jobs;Family/children/youth;No response;Female;70+;2009
Sachsen-Anhalt;East;Unemployment/jobs;Economic recovery/situation;No response;Male;18-20;2009
Thüringen;East;Disenchantment with political parties and politics/politics in general/political affairs;International banking and financial crisis;SPD;Male;70+;2009
Sachsen;East;Unemployment/jobs;Social gap between rich and poor;No response;Female;60-69;2009
Mecklenburg-Vorpommern;East;Economic recovery/situation;German army missions abroad/Afghanistan;SPD;Male;45-49;2009
Sachsen-Anhalt;East;Disenchantment with political parties and politics/politics in general/political affairs;No response;SPD;Male;60-69;2009
Thüringen;East;Disenchantment with political parties and politics/politics in general/political affairs;Social gap between rich and poor;SPD;Male;60-69;2009
Sachsen;East;School/education/PISA;Family/children/youth;SPD;Male;70+;2009
Berlin-East;East;International banking and financial crisis;Unemployment/jobs;No response;Male;60-69;2009
Sachsen;East;National debt;No response;SPD;Female;70+;2009
Sachsen;East;Unemployment/jobs;School/education/PISA;No response;Female;60-69;2009
Sachsen;East;Unemployment/jobs;School/education/PISA;CDU/CSU;Female;25-29;2009
Sachsen;East;Unemployment/jobs;Pensions/old people/provision for old age;SPD;Male;50-59;2009
Sachsen-Anhalt;East;Unemployment/jobs;School/education/PISA;SPD;Female;35-39;2009
Brandemburg;East;Economic recovery/situation;Environmental protection/climate/climate change/renewable energies;CDU/CSU;Female;45-49;2009
Berlin-East;East;Environmental protection/climate/climate change/renewable energies;Unemployment/jobs;CDU/CSU;Female;70+;2009
Brandemburg;East;Unemployment/jobs;International banking and financial crisis;CDU/CSU;Male;45-49;2009
Berlin-East;East;Health care system/nursing care insurance;Economic recovery/situation;SPD;Male;40-44;2009
Sachsen;East;Economic recovery/situation;Unemployment/jobs;No response;Male;70+;2009
Brandemburg;East;Non-smoking protection/Smoking ban;Taxes/tax rises;SPD;Female;40-44;2009
Sachsen;East;Right-wing radicals/right-wing extremists/NPD/anti-Semitism;Disenchantment with political parties and politics/politics in general/political affairs;CDU/CSU;Male;70+;2009
Brandemburg;East;Cutbacks of social benefits/Hartz IV;Pensions/old people/provision for old age;SPD;Female;50-59;2009
Sachsen;East;Unemployment/jobs;Economic recovery/situation;SPD;Male;70+;2009
Sachsen-Anhalt;East;Family/children/youth;No response;No response;Female;21-24;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;German unity: problems/financing/emigration/relation east-west;No response;Female;40-44;2009
Sachsen;East;Unemployment/jobs;Social gap between rich and poor;SPD;Female;50-59;2009
Thüringen;East;Disenchantment with political parties and politics/politics in general/political affairs;Economic recovery/situation;CDU/CSU;Male;50-59;2009
Brandemburg;East;Unemployment/jobs;No response;CDU/CSU;Male;30-34;2009
Sachsen;East;Unemployment/jobs;Peace/détente (East-West);SPD;Female;70+;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;Health care system/nursing care insurance;SPD;Female;50-59;2009
Brandemburg;East;Economic recovery/situation;School/education/PISA;CDU/CSU;Female;30-34;2009
Sachsen;East;Unemployment/jobs;Social gap between rich and poor;SPD;Male;50-59;2009
Sachsen;East;Unemployment/jobs;German army missions abroad/Afghanistan;SPD;Male;60-69;2009
Brandemburg;East;National debt;Family/children/youth;CDU/CSU;Male;30-34;2009
Sachsen;East;Economic recovery/situation;Unemployment/jobs;SPD;Female;70+;2009
Sachsen-Anhalt;East;Economic recovery/situation;Disenchantment with political parties and politics/politics in general/political affairs;SPD;Male;60-69;2009
Brandemburg;East;Unemployment/jobs;German unity: problems/financing/emigration/relation east-west;SPD;Male;60-69;2009
Sachsen-Anhalt;East;Cost of living/prices/price of petrol/'Teuro'/inflation;Unemployment/jobs;No response;Female;18-20;2009
Sachsen-Anhalt;East;Unemployment/jobs;Family/children/youth;No response;Female;50-59;2009
Sachsen;East;Economic recovery/situation;Pensions/old people/provision for old age;No response;Male;35-39;2009
Sachsen-Anhalt;East;Economic recovery/situation;No response;No response;Female;60-69;2009
Sachsen;East;German army missions abroad/Afghanistan;Pensions/old people/provision for old age;CDU/CSU;Male;70+;2009
Sachsen;East;Unemployment/jobs;Law and order/crime;CDU/CSU;Male;35-39;2009
Brandemburg;East;Wages/regulation of working hours;Family/children/youth;SPD;Female;35-39;2009
Sachsen;East;Taxes/tax rises;School/education/PISA;CDU/CSU;Female;30-34;2009
Sachsen-Anhalt;East;Unemployment/jobs;Health care system/nursing care insurance;SPD;Female;50-59;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;Family/children/youth;No response;Female;35-39;2009
Brandemburg;East;Unemployment/jobs;Foreigners/immigration/asylum-seekers/asylum;No response;Male;70+;2009
Sachsen;East;Law and order/crime;Unemployment/jobs;No response;Female;50-59;2009
Berlin-East;East;Economic recovery/situation;Health care system/nursing care insurance;SPD;Male;60-69;2009
Thüringen;East;Unemployment/jobs;Wages/regulation of working hours;No response;Female;25-29;2009
Mecklenburg-Vorpommern;East;International banking and financial crisis;Unemployment/jobs;SPD;Male;35-39;2009
Sachsen-Anhalt;East;Unemployment/jobs;Cutbacks of social benefits/Hartz IV;SPD;Male;70+;2009
Thüringen;East;Unemployment/jobs;Right-wing radicals/right-wing extremists/NPD/anti-Semitism;SPD;Male;60-69;2009
Sachsen-Anhalt;East;German unity: problems/financing/emigration/relation east-west;Disenchantment with political parties and politics/politics in general/political affairs;CDU/CSU;Male;70+;2009
Thüringen;East;Unemployment/jobs;No response;FDP;Male;70+;2009
Berlin-East;East;Unemployment/jobs;Family/children/youth;CDU/CSU;Male;70+;2009
Sachsen-Anhalt;East;Family/children/youth;Unemployment/jobs;SPD;Female;35-39;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;Foreigners/immigration/asylum-seekers/asylum;No response;Male;45-49;2009
Sachsen;East;Unemployment/jobs;Health care system/nursing care insurance;No response;Male;50-59;2009
Sachsen;East;Pensions/old people/provision for old age;Unemployment/jobs;SPD;Female;50-59;2009
Sachsen-Anhalt;East;Unemployment/jobs;Cost of living/prices/price of petrol/'Teuro'/inflation;SPD;Male;30-34;2009
Sachsen;East;Cutbacks of social benefits/Hartz IV;Unemployment/jobs;SPD;Female;50-59;2009
Sachsen;East;No response;No response;SPD;Female;30-34;2009
Sachsen-Anhalt;East;Economic recovery/situation;Health care system/nursing care insurance;No response;Male;70+;2009
Thüringen;East;Unemployment/jobs;Wages/regulation of working hours;SPD;Male;40-44;2009
Sachsen-Anhalt;East;Unemployment/jobs;Wages/regulation of working hours;CDU/CSU;Female;70+;2009
Sachsen;East;Unemployment/jobs;German army missions abroad/Afghanistan;CDU/CSU;Male;45-49;2009
Sachsen;East;Unemployment/jobs;Morality/values;CDU/CSU;Male;45-49;2009
Sachsen;East;Unemployment/jobs;Taxes/tax rises;CDU/CSU;Female;50-59;2009
Thüringen;East;Unemployment/jobs;German unity: problems/financing/emigration/relation east-west;CDU/CSU;Female;60-69;2009
Thüringen;East;Unemployment/jobs;Law and order/crime;CDU/CSU;Female;50-59;2009
Sachsen-Anhalt;East;Unemployment/jobs;German army missions abroad/Afghanistan;SPD;Male;60-69;2009
Sachsen-Anhalt;East;Unemployment/jobs;International banking and financial crisis;No response;Female;70+;2009
Sachsen;East;Unemployment/jobs;No response;No response;Female;30-34;2009
Sachsen;East;International banking and financial crisis;No response;No response;Male;70+;2009
Brandemburg;East;Unemployment/jobs;No response;No response;Female;50-59;2009
Sachsen;East;Unemployment/jobs;German army missions abroad/Afghanistan;No response;Female;60-69;2009
Berlin-East;East;Unemployment/jobs;Wages/regulation of working hours;No response;Male;60-69;2009
Sachsen;East;International banking and financial crisis;Family/children/youth;CDU/CSU;Male;50-59;2009
Thüringen;East;Unemployment/jobs;Economic recovery/situation;SPD;Male;45-49;2009
Thüringen;East;Foreigners/immigration/asylum-seekers/asylum;School/education/PISA;CDU/CSU;Female;25-29;2009
Mecklenburg-Vorpommern;East;School/education/PISA;Foreigners/immigration/asylum-seekers/asylum;CDU/CSU;Female;25-29;2009
Sachsen;East;National debt;Economic recovery/situation;CDU/CSU;Male;45-49;2009
Mecklenburg-Vorpommern;East;Cutbacks of social benefits/Hartz IV;Unemployment/jobs;No response;Male;25-29;2009
Mecklenburg-Vorpommern;East;No response;No response;No response;Female;70+;2009
Thüringen;East;Unemployment/jobs;Wages/regulation of working hours;SPD;Male;30-34;2009
Sachsen-Anhalt;East;School/education/PISA;Law and order/crime;CDU/CSU;Female;35-39;2009
Sachsen-Anhalt;East;Family/children/youth;Morality/values;SPD;Male;60-69;2009
Brandemburg;East;Unemployment/jobs;Social gap between rich and poor;SPD;Female;45-49;2009
Mecklenburg-Vorpommern;East;Family/children/youth;Unemployment/jobs;No response;Female;35-39;2009
Sachsen;East;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;SPD;Female;50-59;2009
Sachsen;East;Disenchantment with political parties and politics/politics in general/political affairs;No response;No response;Female;50-59;2009
Sachsen;East;Unemployment/jobs;No response;SPD;Female;50-59;2009
Brandemburg;East;Unemployment/jobs;Family/children/youth;CDU/CSU;Female;60-69;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;No response;No response;Male;70+;2009
Berlin-East;East;Social gap between rich and poor;Other problems;SPD;Male;60-69;2009
Sachsen;East;Unemployment/jobs;National debt;No response;Male;45-49;2009
Brandemburg;East;Wages/regulation of working hours;Unemployment/jobs;SPD;Male;50-59;2009
Sachsen;East;Economic recovery/situation;International banking and financial crisis;SPD;Male;50-59;2009
Brandemburg;East;Bureaucracy;Disputes in the government/coalition;SPD;Male;35-39;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;Social gap between rich and poor;SPD;Female;45-49;2009
Brandemburg;East;Unemployment/jobs;Economic recovery/situation;SPD;Female;45-49;2009
Sachsen-Anhalt;East;International banking and financial crisis;Unemployment/jobs;No response;Male;35-39;2009
Sachsen;East;Unemployment/jobs;Social gap between rich and poor;SPD;Male;70+;2009
Sachsen-Anhalt;East;Unemployment/jobs;School/education/PISA;No response;Female;21-24;2009
Brandemburg;East;School/education/PISA;Environmental protection/climate/climate change/renewable energies;SPD;Female;35-39;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;Cost of living/prices/price of petrol/'Teuro'/inflation;SPD;Male;70+;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;International banking and financial crisis;SPD;Female;60-69;2009
Brandemburg;East;International banking and financial crisis;Pensions/old people/provision for old age;SPD;Male;60-69;2009
Brandemburg;East;Unemployment/jobs;School/education/PISA;SPD;Male;60-69;2009
Sachsen;East;Unemployment/jobs;Law and order/crime;No response;Male;50-59;2009
Sachsen;East;Unemployment/jobs;Economic recovery/situation;No response;Male;50-59;2009
Sachsen;East;Unemployment/jobs;School/education/PISA;SPD;Female;35-39;2009
Thüringen;East;Unemployment/jobs;Pensions/old people/provision for old age;SPD;Male;40-44;2009
Sachsen;East;International banking and financial crisis;Unemployment/jobs;CDU/CSU;Female;25-29;2009
Brandemburg;East;Disenchantment with political parties and politics/politics in general/political affairs;School/education/PISA;SPD;Male;50-59;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;Family/children/youth;No response;Female;35-39;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;International banking and financial crisis;No response;Female;40-44;2009
Sachsen-Anhalt;East;German unity: problems/financing/emigration/relation east-west;Cutbacks of social benefits/Hartz IV;No response;Male;60-69;2009
Sachsen;East;Unemployment/jobs;Law and order/crime;SPD;Female;70+;2009
Sachsen-Anhalt;East;Unemployment/jobs;Cutbacks of social benefits/Hartz IV;No response;Male;45-49;2009
Sachsen;East;Unemployment/jobs;No response;SPD;Male;40-44;2009
Sachsen;East;Unemployment/jobs;Environmental protection/climate/climate change/renewable energies;SPD;Male;35-39;2009
Sachsen-Anhalt;East;Unemployment/jobs;Cost of living/prices/price of petrol/'Teuro'/inflation;FDP;Female;70+;2009
Sachsen;East;Economic recovery/situation;Unemployment/jobs;SPD;Male;60-69;2009
Brandemburg;East;Family/children/youth;School/education/PISA;No response;Female;30-34;2009
Sachsen-Anhalt;East;Unemployment/jobs;National debt;CDU/CSU;Male;60-69;2009
Sachsen;East;Unemployment/jobs;Health care system/nursing care insurance;CDU/CSU;Female;50-59;2009
Sachsen;East;German army missions abroad/Afghanistan;Economic recovery/situation;SPD;Male;18-20;2009
Sachsen;East;Economic recovery/situation;Cost of living/prices/price of petrol/'Teuro'/inflation;CDU/CSU;Male;25-29;2009
Brandemburg;East;Economic recovery/situation;No response;CDU/CSU;Female;45-49;2009
Thüringen;East;Disenchantment with political parties and politics/politics in general/political affairs;No response;No response;Female;60-69;2009
Brandemburg;East;School/education/PISA;Wages/regulation of working hours;No response;Female;35-39;2009
Sachsen;East;Unemployment/jobs;German army missions abroad/Afghanistan;SPD;Female;70+;2009
Sachsen-Anhalt;East;Unemployment/jobs;Economic recovery/situation;SPD;Female;45-49;2009
Brandemburg;East;Health care system/nursing care insurance;Pensions/old people/provision for old age;SPD;Female;60-69;2009
Thüringen;East;Unemployment/jobs;Economic recovery/situation;CDU/CSU;Male;70+;2009
Sachsen;East;Unemployment/jobs;Health care system/nursing care insurance;SPD;Female;70+;2009
Mecklenburg-Vorpommern;East;Wages/regulation of working hours;Unemployment/jobs;SPD;Female;70+;2009
Sachsen;East;Unemployment/jobs;School/education/PISA;FDP;Male;50-59;2009
Sachsen;East;Unemployment/jobs;Law and order/crime;SPD;Male;50-59;2009
Sachsen;East;International banking and financial crisis;German army missions abroad/Afghanistan;SPD;Male;60-69;2009
Sachsen;East;No response;No response;No response;Male;50-59;2009
Thüringen;East;Social gap between rich and poor;Disenchantment with political parties and politics/politics in general/political affairs;SPD;Female;40-44;2009
Brandemburg;East;Disenchantment with political parties and politics/politics in general/political affairs;School/education/PISA;No response;Female;30-34;2009
Sachsen-Anhalt;East;Disenchantment with political parties and politics/politics in general/political affairs;German army missions abroad/Afghanistan;SPD;Female;60-69;2009
Brandemburg;East;Economic recovery/situation;Terrorism;No response;Male;50-59;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;No response;No response;Female;35-39;2009
Mecklenburg-Vorpommern;East;Taxes/tax rises;National debt;SPD;Female;60-69;2009
Sachsen;East;Unemployment/jobs;School/education/PISA;SPD;Female;50-59;2009
Sachsen-Anhalt;East;School/education/PISA;Pessimism/'moaning'/lack of prospects;No response;Female;45-49;2009
Sachsen-Anhalt;East;Unemployment/jobs;No response;SPD;Male;60-69;2009
Sachsen-Anhalt;East;Unemployment/jobs;German army missions abroad/Afghanistan;No response;Female;50-59;2009
Mecklenburg-Vorpommern;East;National debt;International banking and financial crisis;SPD;Male;25-29;2009
Thüringen;East;School/education/PISA;Wages/regulation of working hours;SPD;Female;25-29;2009
Brandemburg;East;Unemployment/jobs;German army missions abroad/Afghanistan;No response;Female;60-69;2009
Sachsen;East;No response;No response;No response;Male;60-69;2009
Sachsen;East;Disenchantment with political parties and politics/politics in general/political affairs;Unemployment/jobs;FDP;Female;50-59;2009
Sachsen;East;Wages/regulation of working hours;Unemployment/jobs;SPD;Male;70+;2009
Brandemburg;East;Disenchantment with political parties and politics/politics in general/political affairs;No response;SPD;Male;50-59;2009
Sachsen;East;Law and order/crime;Unemployment/jobs;SPD;Female;30-34;2009
Mecklenburg-Vorpommern;East;Health care system/nursing care insurance;Law and order/crime;No response;Female;60-69;2009
Thüringen;East;Economic recovery/situation;Unemployment/jobs;No response;Female;35-39;2009
No response;No response;No response;No response;CDU/CSU;Male;70+;2009
Berlin-East;East;Unemployment/jobs;Economic recovery/situation;SPD;Male;45-49;2009
Sachsen;East;Economic recovery/situation;Terrorism;SPD;Male;60-69;2009
Sachsen;East;Unemployment/jobs;Wages/regulation of working hours;SPD;Female;30-34;2009
Sachsen;East;International banking and financial crisis;Environmental protection/climate/climate change/renewable energies;SPD;Male;25-29;2009
Thüringen;East;Unemployment/jobs;Social gap between rich and poor;SPD;Male;60-69;2009
Sachsen;East;Disenchantment with political parties and politics/politics in general/political affairs;Law and order/crime;No response;Female;70+;2009
Sachsen-Anhalt;East;Disenchantment with political parties and politics/politics in general/political affairs;Unemployment/jobs;SPD;Female;35-39;2009
Sachsen;East;Wages/regulation of working hours;Disenchantment with political parties and politics/politics in general/political affairs;SPD;Female;40-44;2009
Sachsen-Anhalt;East;Unemployment/jobs;Health care system/nursing care insurance;CDU/CSU;Female;45-49;2009
Sachsen;East;Unemployment/jobs;Social gap between rich and poor;No response;Female;21-24;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;Pessimism/'moaning'/lack of prospects;FDP;Male;50-59;2009
Brandemburg;East;Economic recovery/situation;Unemployment/jobs;SPD;Female;40-44;2009
Sachsen;East;Unemployment/jobs;Law and order/crime;CDU/CSU;Male;60-69;2009
Sachsen;East;Unemployment/jobs;Cutbacks of social benefits/Hartz IV;SPD;Female;60-69;2009
Sachsen-Anhalt;East;Unemployment/jobs;Unemployment/jobs;CDU/CSU;Male;45-49;2009
Sachsen-Anhalt;East;Unemployment/jobs;National debt;SPD;Female;50-59;2009
Berlin-East;East;Unemployment/jobs;German army missions abroad/Afghanistan;SPD;Male;40-44;2009
Sachsen;East;No response;No response;CDU/CSU;Male;30-34;2009
Brandemburg;East;Unemployment/jobs;Wages/regulation of working hours;SPD;Female;18-20;2009
Sachsen-Anhalt;East;Economic recovery/situation;School/education/PISA;SPD;Female;45-49;2009
Sachsen-Anhalt;East;Economic recovery/situation;German army missions abroad/Afghanistan;SPD;Male;60-69;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;No response;No response;Male;70+;2009
Sachsen-Anhalt;East;Unemployment/jobs;Cost of living/prices/price of petrol/'Teuro'/inflation;SPD;Male;30-34;2009
Sachsen-Anhalt;East;Unemployment/jobs;No response;SPD;Female;70+;2009
Sachsen;East;Unemployment/jobs;Social gap between rich and poor;No response;Female;60-69;2009
Brandemburg;East;International banking and financial crisis;Unemployment/jobs;CDU/CSU;Male;50-59;2009
Brandemburg;East;Unemployment/jobs;No response;CDU/CSU;Female;60-69;2009
Sachsen;East;Disenchantment with political parties and politics/politics in general/political affairs;School/education/PISA;SPD;Male;60-69;2009
Berlin-East;East;Economic recovery/situation;Health care system/nursing care insurance;No response;Male;35-39;2009
Sachsen;East;International banking and financial crisis;Disenchantment with political parties and politics/politics in general/political affairs;No response;Male;40-44;2009
Brandemburg;East;Economic recovery/situation;Environmental protection/climate/climate change/renewable energies;No response;Male;35-39;2009
Berlin-East;East;Disenchantment with political parties and politics/politics in general/political affairs;Taxes/tax rises;No response;Female;70+;2009
Thüringen;East;Agriculture/food in general;Environmental protection/climate/climate change/renewable energies;No response;Female;25-29;2009
Sachsen;East;Social gap between rich and poor;School/education/PISA;SPD;Female;50-59;2009
Sachsen;East;Economic recovery/situation;Unemployment/jobs;No response;Female;50-59;2009
Sachsen;East;International banking and financial crisis;Unemployment/jobs;SPD;Male;40-44;2009
Thüringen;East;International banking and financial crisis;Social gap between rich and poor;SPD;Male;50-59;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;Wages/regulation of working hours;CDU/CSU;Male;40-44;2009
Berlin-East;East;Economic recovery/situation;School/education/PISA;SPD;Male;21-24;2009
Sachsen-Anhalt;East;Unemployment/jobs;Wages/regulation of working hours;SPD;Male;35-39;2009
Brandemburg;East;Unemployment/jobs;No response;SPD;Female;60-69;2009
Brandemburg;East;Unemployment/jobs;Family/children/youth;SPD;Female;70+;2009
Mecklenburg-Vorpommern;East;Unemployment/jobs;School/education/PISA;SPD;Female;45-49;2009
